timestamp,boot_timestamp,anchor_id,tag_id,rssi_pol1,angle_azimuth,rssi_pol2,angle_elevation,channel
1699816280218,2748385,CCF9579B217F,6C1DEBA4241B,-86,-38,-66,20,38
1699816280235,2748411,CCF9579B217F,6C1DEBA4241B,-67,-38,-71,20,37
1699816280244,838405,CCF9579B223C,6C1DEBA4241B,-66,48,-73,40,37
1699816280265,2748442,CCF9579B217F,6C1DEBA4241B,-62,-38,-55,20,39
1699816280266,838436,CCF9579B223C,6C1DEBA4241B,-63,48,-66,40,39
1699816280289,838460,CCF9579B223C,6C1DEBA4241B,-64,48,-66,40,39
1699816280351,2748514,CCF9579B217F,6C1DEBA4241B,-67,-38,-70,20,37
1699816280381,838537,CCF9579B223C,6C1DEBA4241B,-59,48,-69,40,38
1699816280388,838558,CCF9579B223C,6C1DEBA4241B,-67,48,-73,40,37
1699816280393,2748565,CCF9579B217F,6C1DEBA4241B,-87,-38,-65,20,38
1699816280419,2748595,CCF9579B217F,6C1DEBA4241B,-84,-38,-65,20,38
1699816280419,838589,CCF9579B223C,6C1DEBA4241B,-59,50,-69,40,38
1699816280458,2748624,CCF9579B217F,6C1DEBA4241B,-62,-38,-55,20,39
1699816280469,2748645,CCF9579B217F,6C1DEBA4241B,-81,-38,-65,20,38
1699816280485,838639,CCF9579B223C,6C1DEBA4241B,-67,50,-73,40,37
1699816280517,2748693,CCF9579B217F,6C1DEBA4241B,-63,-38,-55,20,39
1699816280518,838687,CCF9579B223C,6C1DEBA4241B,-68,50,-66,40,39
1699816280541,838711,CCF9579B223C,6C1DEBA4241B,-66,50,-65,38,39
1699816280550,2748717,CCF9579B217F,6C1DEBA4241B,-62,-38,-55,18,39
1699816280569,2748745,CCF9579B217F,6C1DEBA4241B,-63,-38,-55,18,39
1699816280589,2748765,CCF9579B217F,6C1DEBA4241B,-77,-38,-64,18,38
1699816280611,2748787,CCF9579B217F,6C1DEBA4241B,-63,-38,-55,18,39
1699816280624,838780,CCF9579B223C,6C1DEBA4241B,-67,50,-73,38,37
1699816280658,838828,CCF9579B223C,6C1DEBA4241B,-66,50,-65,38,39
1699816280668,2748834,CCF9579B217F,6C1DEBA4241B,-63,-38,-55,18,39
1699816280766,838936,CCF9579B223C,6C1DEBA4241B,-59,52,-68,38,38
1699816280776,2748943,CCF9579B217F,6C1DEBA4241B,-63,-38,-55,18,39
1699816280795,2748971,CCF9579B217F,6C1DEBA4241B,-67,-38,-69,18,37
1699816280823,2749000,CCF9579B217F,6C1DEBA4241B,-67,-38,-69,10,37
1699816280835,838995,CCF9579B223C,6C1DEBA4241B,-65,52,-65,38,39
1699816280854,839023,CCF9579B223C,6C1DEBA4241B,-59,52,-69,38,38
1699816280855,2749029,CCF9579B217F,6C1DEBA4241B,-63,-38,-55,10,39
1699816280885,2749051,CCF9579B217F,6C1DEBA4241B,-78,-38,-65,10,38
1699816280906,839066,CCF9579B223C,6C1DEBA4241B,-64,52,-66,38,39
1699816280946,2749123,CCF9579B217F,6C1DEBA4241B,-87,-38,-66,10,38
1699816280971,839142,CCF9579B223C,6C1DEBA4241B,-66,52,-73,38,37
1699816280982,2749148,CCF9579B217F,6C1DEBA4241B,-67,-38,-70,10,37
1699816281006,839167,CCF9579B223C,6C1DEBA4241B,-59,52,-69,36,38
1699816281020,2749196,CCF9579B217F,6C1DEBA4241B,-66,-38,-70,10,37
1699816281021,839191,CCF9579B223C,6C1DEBA4241B,-64,52,-65,36,39
1699816281046,839216,CCF9579B223C,6C1DEBA4241B,-63,52,-66,36,39
1699816281107,839268,CCF9579B223C,6C1DEBA4241B,-63,52,-65,38,39
1699816281122,839292,CCF9579B223C,6C1DEBA4241B,-63,50,-66,38,39
1699816281144,2749297,CCF9579B217F,6C1DEBA4241B,-66,-38,-70,10,37
1699816281145,2749319,CCF9579B217F,6C1DEBA4241B,-67,-38,-70,10,37
1699816281146,839314,CCF9579B223C,6C1DEBA4241B,-63,50,-66,38,39
1699816281166,2749341,CCF9579B217F,6C1DEBA4241B,-62,-38,-56,10,39
1699816281167,839335,CCF9579B223C,6C1DEBA4241B,-59,50,-68,38,38
1699816281186,839357,CCF9579B223C,6C1DEBA4241B,-59,50,-68,38,38
1699816281187,2749363,CCF9579B217F,6C1DEBA4241B,-63,-38,-56,10,39
1699816281227,839379,CCF9579B223C,6C1DEBA4241B,-63,50,-66,36,39
1699816281251,2749384,CCF9579B217F,6C1DEBA4241B,-67,-38,-70,10,37
1699816281283,2749459,CCF9579B217F,6C1DEBA4241B,-63,-38,-56,10,39
1699816281363,2749530,CCF9579B217F,6C1DEBA4241B,-85,-38,-67,10,38
1699816281364,839525,CCF9579B223C,6C1DEBA4241B,-62,50,-66,36,39
1699816281383,839553,CCF9579B223C,6C1DEBA4241B,-59,50,-68,36,38
1699816281479,2749645,CCF9579B217F,6C1DEBA4241B,-66,-38,-72,10,37
1699816281493,2749669,CCF9579B217F,6C1DEBA4241B,-66,-38,-72,10,37
1699816281531,2749698,CCF9579B217F,6C1DEBA4241B,-61,-38,-55,12,39
1699816281545,2749719,CCF9579B217F,6C1DEBA4241B,-75,-38,-70,12,38
1699816281583,839664,CCF9579B223C,6C1DEBA4241B,-64,50,-74,36,37
1699816281583,839713,CCF9579B223C,6C1DEBA4241B,-60,50,-68,36,38
1699816281614,2749791,CCF9579B217F,6C1DEBA4241B,-67,-38,-72,12,37
1699816281653,2749819,CCF9579B217F,6C1DEBA4241B,-59,-38,-55,12,39
1699816281662,2749838,CCF9579B217F,6C1DEBA4241B,-66,-38,-72,12,37
1699816281674,839785,CCF9579B223C,6C1DEBA4241B,-63,50,-74,36,37
1699816281675,839812,CCF9579B223C,6C1DEBA4241B,-63,50,-71,36,37
1699816281675,839833,CCF9579B223C,6C1DEBA4241B,-58,50,-66,36,39
1699816281710,839880,CCF9579B223C,6C1DEBA4241B,-62,50,-74,36,37
1699816281710,2749886,CCF9579B217F,6C1DEBA4241B,-73,-38,-66,12,38
1699816281767,839929,CCF9579B223C,6C1DEBA4241B,-62,48,-74,36,37
1699816281768,2749935,CCF9579B217F,6C1DEBA4241B,-67,-40,-72,12,37
1699816281786,2749962,CCF9579B217F,6C1DEBA4241B,-67,-40,-72,12,37
1699816281786,839957,CCF9579B223C,6C1DEBA4241B,-61,48,-68,36,38
1699816281813,839980,CCF9579B223C,6C1DEBA4241B,-56,48,-67,36,39
1699816281846,840007,CCF9579B223C,6C1DEBA4241B,-62,48,-74,36,37
1699816281847,2750014,CCF9579B217F,6C1DEBA4241B,-59,-40,-55,12,39
1699816281865,840031,CCF9579B223C,6C1DEBA4241B,-56,48,-67,36,39
1699816281997,2750163,CCF9579B217F,6C1DEBA4241B,-69,-40,-64,12,38
1699816281997,840157,CCF9579B223C,6C1DEBA4241B,-62,48,-68,36,38
1699816282039,2750215,CCF9579B217F,6C1DEBA4241B,-69,-40,-64,12,38
1699816282039,840210,CCF9579B223C,6C1DEBA4241B,-55,48,-67,36,39
1699816282075,2750242,CCF9579B217F,6C1DEBA4241B,-69,-40,-65,12,38
1699816282092,2750262,CCF9579B217F,6C1DEBA4241B,-66,-40,-70,12,37
1699816282095,840257,CCF9579B223C,6C1DEBA4241B,-62,48,-67,36,38
1699816282118,2750289,CCF9579B217F,6C1DEBA4241B,-66,-40,-70,12,37
1699816282121,840284,CCF9579B223C,6C1DEBA4241B,-62,48,-67,36,38
1699816282140,840309,CCF9579B223C,6C1DEBA4241B,-61,46,-75,36,37
1699816282140,2750315,CCF9579B217F,6C1DEBA4241B,-66,-40,-69,12,37
1699816282161,840331,CCF9579B223C,6C1DEBA4241B,-56,46,-67,34,39
1699816282162,2750337,CCF9579B217F,6C1DEBA4241B,-58,-40,-56,12,39
1699816282181,2750357,CCF9579B217F,6C1DEBA4241B,-69,-40,-64,12,38
1699816282228,2750404,CCF9579B217F,6C1DEBA4241B,-66,-40,-69,10,37
1699816282237,840398,CCF9579B223C,6C1DEBA4241B,-61,46,-75,34,37
1699816282315,2750482,CCF9579B217F,6C1DEBA4241B,-66,-40,-69,10,37
1699816282349,2750525,CCF9579B217F,6C1DEBA4241B,-69,-40,-63,10,38
1699816282376,2750553,CCF9579B217F,6C1DEBA4241B,-58,-40,-56,10,39
1699816282489,2750654,CCF9579B217F,6C1DEBA4241B,-58,-40,-56,8,39
1699816282489,840647,CCF9579B223C,6C1DEBA4241B,-61,46,-74,34,37
1699816282499,840670,CCF9579B223C,6C1DEBA4241B,-62,46,-67,34,38
1699816282500,2750676,CCF9579B217F,6C1DEBA4241B,-58,-40,-56,8,39
1699816282529,2750703,CCF9579B217F,6C1DEBA4241B,-66,-42,-70,8,37
1699816282548,2750725,CCF9579B217F,6C1DEBA4241B,-66,-42,-70,8,37
1699816282549,840719,CCF9579B223C,6C1DEBA4241B,-61,46,-75,34,37
1699816282576,2750753,CCF9579B217F,6C1DEBA4241B,-66,-42,-70,8,37
1699816282577,840747,CCF9579B223C,6C1DEBA4241B,-61,46,-75,34,37
1699816282614,2750781,CCF9579B217F,6C1DEBA4241B,-66,-42,-70,8,37
1699816282615,840776,CCF9579B223C,6C1DEBA4241B,-55,46,-66,34,39
1699816282632,840801,CCF9579B223C,6C1DEBA4241B,-71,46,-76,34,37
1699816282654,840824,CCF9579B223C,6C1DEBA4241B,-61,46,-74,34,37
1699816282654,2750830,CCF9579B217F,6C1DEBA4241B,-66,-44,-70,8,37
1699816282683,2750859,CCF9579B217F,6C1DEBA4241B,-70,-44,-64,8,38
1699816282719,2750885,CCF9579B217F,6C1DEBA4241B,-70,-44,-64,8,38
1699816282736,2750911,CCF9579B217F,6C1DEBA4241B,-58,-44,-56,8,39
1699816282762,840932,CCF9579B223C,6C1DEBA4241B,-62,44,-67,34,38
1699816282762,2750939,CCF9579B217F,6C1DEBA4241B,-58,-44,-56,8,39
1699816282791,840961,CCF9579B223C,6C1DEBA4241B,-55,44,-66,34,39
1699816282817,2750992,CCF9579B217F,6C1DEBA4241B,-67,-46,-71,8,37
1699816282825,840986,CCF9579B223C,6C1DEBA4241B,-62,44,-74,34,37
1699816282837,2751013,CCF9579B217F,6C1DEBA4241B,-58,-46,-55,8,39
1699816282858,2751034,CCF9579B217F,6C1DEBA4241B,-69,-46,-63,8,38
1699816282879,2751055,CCF9579B217F,6C1DEBA4241B,-66,-46,-71,12,37
1699816282943,841103,CCF9579B223C,6C1DEBA4241B,-61,44,-74,34,37
1699816282955,2751132,CCF9579B217F,6C1DEBA4241B,-58,-50,-56,14,39
1699816282958,841125,CCF9579B223C,6C1DEBA4241B,-61,44,-75,34,37
1699816282978,841148,CCF9579B223C,6C1DEBA4241B,-61,44,-74,34,37
1699816282978,2751155,CCF9579B217F,6C1DEBA4241B,-70,-50,-63,14,38
1699816283027,2751201,CCF9579B217F,6C1DEBA4241B,-58,-50,-56,14,39
1699816283034,841195,CCF9579B223C,6C1DEBA4241B,-55,44,-66,34,39
1699816283052,841222,CCF9579B223C,6C1DEBA4241B,-62,44,-67,36,38
1699816283077,841247,CCF9579B223C,6C1DEBA4241B,-62,44,-68,36,38
1699816283107,841274,CCF9579B223C,6C1DEBA4241B,-55,44,-65,38,39
1699816283143,841303,CCF9579B223C,6C1DEBA4241B,-61,44,-74,38,37
1699816283144,2751310,CCF9579B217F,6C1DEBA4241B,-59,-50,-56,14,39
1699816283157,841327,CCF9579B223C,6C1DEBA4241B,-61,44,-74,38,37
1699816283183,2751358,CCF9579B217F,6C1DEBA4241B,-59,-50,-56,14,39
1699816283186,841351,CCF9579B223C,6C1DEBA4241B,-62,44,-68,38,38
1699816283269,841429,CCF9579B223C,6C1DEBA4241B,-62,44,-67,38,38
1699816283287,841458,CCF9579B223C,6C1DEBA4241B,-55,44,-66,38,39
1699816283320,2751463,CCF9579B217F,6C1DEBA4241B,-68,-50,-63,14,38
1699816283320,2751491,CCF9579B217F,6C1DEBA4241B,-67,-50,-71,14,37
1699816283321,841485,CCF9579B223C,6C1DEBA4241B,-61,44,-75,38,37
1699816283335,841506,CCF9579B223C,6C1DEBA4241B,-62,44,-67,38,38
1699816283368,841527,CCF9579B223C,6C1DEBA4241B,-62,44,-67,38,38
1699816283396,2751562,CCF9579B217F,6C1DEBA4241B,-68,-50,-63,14,38
1699816283411,2751586,CCF9579B217F,6C1DEBA4241B,-66,-50,-70,14,37
1699816283638,841799,CCF9579B223C,6C1DEBA4241B,-61,44,-74,38,37
1699816283641,2751805,CCF9579B217F,6C1DEBA4241B,-69,-50,-63,14,38
1699816283657,841827,CCF9579B223C,6C1DEBA4241B,-61,44,-74,38,37
1699816283657,2751834,CCF9579B217F,6C1DEBA4241B,-59,-50,-56,14,39
1699816283731,841900,CCF9579B223C,6C1DEBA4241B,-61,44,-74,38,37
1699816283739,2751905,CCF9579B217F,6C1DEBA4241B,-66,-50,-70,14,37
1699816283750,2751927,CCF9579B217F,6C1DEBA4241B,-59,-50,-56,14,39
1699816283750,841920,CCF9579B223C,6C1DEBA4241B,-62,44,-67,38,38
1699816283769,841940,CCF9579B223C,6C1DEBA4241B,-61,44,-74,38,37
1699816283769,2751946,CCF9579B217F,6C1DEBA4241B,-66,-50,-71,14,37
1699816283807,841968,CCF9579B223C,6C1DEBA4241B,-62,44,-67,38,38
1699816283830,841996,CCF9579B223C,6C1DEBA4241B,-61,44,-74,36,37
1699816283837,2752003,CCF9579B217F,6C1DEBA4241B,-59,-50,-57,14,39
1699816283922,842082,CCF9579B223C,6C1DEBA4241B,-61,44,-74,36,37
1699816283937,842108,CCF9579B223C,6C1DEBA4241B,-62,44,-68,36,38
1699816283948,2752115,CCF9579B217F,6C1DEBA4241B,-59,-50,-57,14,39
1699816283959,842129,CCF9579B223C,6C1DEBA4241B,-62,44,-67,36,38
1699816283984,2752160,CCF9579B217F,6C1DEBA4241B,-67,-50,-62,14,38
1699816283984,842154,CCF9579B223C,6C1DEBA4241B,-62,44,-68,34,38
1699816284007,2752183,CCF9579B217F,6C1DEBA4241B,-59,-50,-57,14,39
1699816284169,2752336,CCF9579B217F,6C1DEBA4241B,-66,-50,-68,14,37
1699816284170,842331,CCF9579B223C,6C1DEBA4241B,-54,44,-66,34,39
1699816284244,2752410,CCF9579B217F,6C1DEBA4241B,-59,-50,-57,14,39
1699816284269,842428,CCF9579B223C,6C1DEBA4241B,-62,44,-67,34,38
1699816284305,2752481,CCF9579B217F,6C1DEBA4241B,-67,-50,-61,14,38
1699816284305,842476,CCF9579B223C,6C1DEBA4241B,-54,44,-65,34,39
1699816284336,842497,CCF9579B223C,6C1DEBA4241B,-61,44,-75,34,37
1699816284337,2752504,CCF9579B217F,6C1DEBA4241B,-59,-48,-57,14,39
1699816284384,842555,CCF9579B223C,6C1DEBA4241B,-54,44,-66,34,39
1699816284414,2752590,CCF9579B217F,6C1DEBA4241B,-60,-48,-57,14,39
1699816284414,842584,CCF9579B223C,6C1DEBA4241B,-63,44,-68,34,38
1699816284469,842631,CCF9579B223C,6C1DEBA4241B,-63,44,-67,34,38
1699816284470,2752637,CCF9579B217F,6C1DEBA4241B,-61,-48,-58,12,39
1699816284507,2752684,CCF9579B217F,6C1DEBA4241B,-65,-48,-67,12,37
1699816284508,842679,CCF9579B223C,6C1DEBA4241B,-53,44,-67,34,39
1699816284534,2752710,CCF9579B217F,6C1DEBA4241B,-66,-48,-66,12,37
