timestamp,boot_timestamp,anchor_id,tag_id,rssi_pol1,angle_azimuth,rssi_pol2,angle_elevation,channel
1699816123088,2591254,CCF9579B217F,6C1DEBA4241B,-58,-34,-65,-22,37
1699816123096,681249,CCF9579B223C,6C1DEBA4241B,-53,66,-61,18,39
1699816123111,681271,CCF9579B223C,6C1DEBA4241B,-56,66,-73,18,38
1699816123120,2591278,CCF9579B217F,6C1DEBA4241B,-50,-34,-53,-22,39
1699816123139,681300,CCF9579B223C,6C1DEBA4241B,-56,66,-72,18,38
1699816123248,2591406,CCF9579B217F,6C1DEBA4241B,-58,-34,-65,-22,37
1699816123250,681401,CCF9579B223C,6C1DEBA4241B,-53,66,-61,20,39
1699816123307,681458,CCF9579B223C,6C1DEBA4241B,-53,66,-61,20,39
1699816123320,681482,CCF9579B223C,6C1DEBA4241B,-56,66,-72,20,38
1699816123330,2591489,CCF9579B217F,6C1DEBA4241B,-50,-34,-53,-20,39
1699816123348,681510,CCF9579B223C,6C1DEBA4241B,-62,66,-70,20,37
1699816123349,2591516,CCF9579B217F,6C1DEBA4241B,-58,-34,-65,-6,37
1699816123374,681535,CCF9579B223C,6C1DEBA4241B,-61,66,-71,20,37
1699816123377,2591542,CCF9579B217F,6C1DEBA4241B,-58,-34,-62,-6,38
1699816123409,681562,CCF9579B223C,6C1DEBA4241B,-53,66,-61,20,39
1699816123448,681610,CCF9579B223C,6C1DEBA4241B,-53,66,-61,20,39
1699816123459,2591616,CCF9579B217F,6C1DEBA4241B,-50,-34,-53,-6,39
1699816123476,681636,CCF9579B223C,6C1DEBA4241B,-61,66,-71,20,37
1699816123578,2591736,CCF9579B217F,6C1DEBA4241B,-50,-34,-53,-6,39
1699816123591,2591758,CCF9579B217F,6C1DEBA4241B,-58,-34,-63,-6,38
1699816123600,681752,CCF9579B223C,6C1DEBA4241B,-57,66,-72,20,38
1699816123619,681778,CCF9579B223C,6C1DEBA4241B,-57,66,-72,20,38
1699816123637,681799,CCF9579B223C,6C1DEBA4241B,-61,66,-70,20,37
1699816123690,681851,CCF9579B223C,6C1DEBA4241B,-56,66,-72,20,38
1699816123703,2591858,CCF9579B217F,6C1DEBA4241B,-50,-32,-53,-6,39
1699816123712,2591878,CCF9579B217F,6C1DEBA4241B,-58,-32,-63,-6,38
1699816123735,2591902,CCF9579B217F,6C1DEBA4241B,-58,-32,-65,-6,37
1699816123745,681896,CCF9579B223C,6C1DEBA4241B,-61,66,-71,20,37
1699816123764,681925,CCF9579B223C,6C1DEBA4241B,-56,66,-73,20,38
1699816123777,2591932,CCF9579B217F,6C1DEBA4241B,-50,-32,-54,-6,39
1699816123787,681949,CCF9579B223C,6C1DEBA4241B,-62,66,-71,20,37
1699816123789,2591955,CCF9579B217F,6C1DEBA4241B,-58,-32,-63,-6,38
1699816123814,2591980,CCF9579B217F,6C1DEBA4241B,-58,-32,-63,-6,38
1699816123824,681974,CCF9579B223C,6C1DEBA4241B,-57,66,-72,20,38
1699816123845,2592010,CCF9579B217F,6C1DEBA4241B,-50,-32,-53,-6,39
1699816123877,682032,CCF9579B223C,6C1DEBA4241B,-61,66,-70,20,37
1699816123883,2592039,CCF9579B217F,6C1DEBA4241B,-58,-32,-63,-6,38
1699816123920,2592088,CCF9579B217F,6C1DEBA4241B,-58,-32,-65,-6,37
1699816124010,2592167,CCF9579B217F,6C1DEBA4241B,-58,-32,-63,-6,38
1699816124011,682162,CCF9579B223C,6C1DEBA4241B,-53,66,-60,20,39
1699816124046,2592211,CCF9579B217F,6C1DEBA4241B,-50,-32,-53,-6,39
1699816124053,682204,CCF9579B223C,6C1DEBA4241B,-61,66,-71,20,37
1699816124192,2592337,CCF9579B217F,6C1DEBA4241B,-50,-32,-53,-6,39
1699816124203,682355,CCF9579B223C,6C1DEBA4241B,-61,66,-71,20,37
1699816124246,2592408,CCF9579B217F,6C1DEBA4241B,-50,-32,-53,-6,39
1699816124253,682402,CCF9579B223C,6C1DEBA4241B,-53,66,-60,20,39
1699816124296,682456,CCF9579B223C,6C1DEBA4241B,-57,66,-73,20,38
1699816124359,682511,CCF9579B223C,6C1DEBA4241B,-61,66,-71,20,37
1699816124360,2592517,CCF9579B217F,6C1DEBA4241B,-58,-32,-65,-6,37
1699816124372,682533,CCF9579B223C,6C1DEBA4241B,-53,66,-60,20,39
1699816124372,2592539,CCF9579B217F,6C1DEBA4241B,-50,-32,-53,-6,39
1699816124428,2592586,CCF9579B217F,6C1DEBA4241B,-50,-30,-53,-6,39
1699816124429,682578,CCF9579B223C,6C1DEBA4241B,-61,66,-71,20,37
