timestamp,boot_timestamp,anchor_id,tag_id,rssi_pol1,angle_azimuth,rssi_pol2,angle_elevation,channel
1699816107566,665711,CCF9579B223C,6C1DEBA4241B,-48,58,-64,-2,39
1699816107567,2575717,CCF9579B217F,6C1DEBA4241B,-48,-16,-49,24,39
1699816107602,665762,CCF9579B223C,6C1DEBA4241B,-48,58,-64,-2,39
1699816107630,2575768,CCF9579B217F,6C1DEBA4241B,-48,-16,-49,20,39
1699816107631,2575788,CCF9579B217F,6C1DEBA4241B,-61,-16,-55,20,38
1699816107634,665782,CCF9579B223C,6C1DEBA4241B,-66,58,-68,-2,38
1699816107659,2575817,CCF9579B217F,6C1DEBA4241B,-47,-16,-49,20,39
1699816107665,665810,CCF9579B223C,6C1DEBA4241B,-66,58,-68,-2,38
1699816107678,2575842,CCF9579B217F,6C1DEBA4241B,-57,-16,-59,20,37
1699816107684,665837,CCF9579B223C,6C1DEBA4241B,-48,58,-65,-2,39
1699816107700,2575865,CCF9579B217F,6C1DEBA4241B,-48,-16,-49,20,39
1699816107727,665879,CCF9579B223C,6C1DEBA4241B,-65,58,-68,-2,38
1699816107730,2575884,CCF9579B217F,6C1DEBA4241B,-58,-16,-60,20,37
1699816107752,2575909,CCF9579B217F,6C1DEBA4241B,-48,-16,-49,20,39
1699816107755,665902,CCF9579B223C,6C1DEBA4241B,-59,58,-70,-2,37
1699816107772,665928,CCF9579B223C,6C1DEBA4241B,-59,58,-70,-2,37
1699816107797,665952,CCF9579B223C,6C1DEBA4241B,-59,56,-70,-2,37
1699816107802,2575958,CCF9579B217F,6C1DEBA4241B,-58,-16,-59,20,37
1699816107825,2575987,CCF9579B217F,6C1DEBA4241B,-61,-16,-55,20,38
1699816107827,665981,CCF9579B223C,6C1DEBA4241B,-66,56,-68,-4,38
1699816107888,666038,CCF9579B223C,6C1DEBA4241B,-66,56,-68,-4,38
1699816107900,2576017,CCF9579B217F,6C1DEBA4241B,-61,-16,-55,20,38
1699816107901,2576044,CCF9579B217F,6C1DEBA4241B,-61,-16,-55,20,38
1699816107906,666066,CCF9579B223C,6C1DEBA4241B,-59,54,-70,-4,37
1699816107996,2576152,CCF9579B217F,6C1DEBA4241B,-58,-16,-59,20,37
1699816107999,666146,CCF9579B223C,6C1DEBA4241B,-59,54,-70,-4,37
1699816108041,666201,CCF9579B223C,6C1DEBA4241B,-48,54,-64,-6,39
1699816108043,2576207,CCF9579B217F,6C1DEBA4241B,-49,-16,-49,20,39
1699816108110,666252,CCF9579B223C,6C1DEBA4241B,-48,54,-64,-8,39
1699816108129,666279,CCF9579B223C,6C1DEBA4241B,-48,54,-64,-8,39
1699816108137,2576258,CCF9579B217F,6C1DEBA4241B,-48,-16,-49,20,39
1699816108137,2576284,CCF9579B217F,6C1DEBA4241B,-60,-16,-56,20,38
1699816108191,666327,CCF9579B223C,6C1DEBA4241B,-48,54,-64,-8,39
1699816108193,666350,CCF9579B223C,6C1DEBA4241B,-48,54,-64,-8,39
1699816108195,2576332,CCF9579B217F,6C1DEBA4241B,-58,-16,-59,20,37
1699816108212,2576355,CCF9579B217F,6C1DEBA4241B,-58,-16,-59,20,37
1699816108213,2576378,CCF9579B217F,6C1DEBA4241B,-48,-16,-49,20,39
1699816108216,666372,CCF9579B223C,6C1DEBA4241B,-48,54,-65,-8,39
