anchor_id,x,y,z,angle_azimuth,angle_elevation,angle_rotation
CCF9579B217F,0,1.2,0,180,0,0
CCF9579B2279,0,0,0,0,0,0
CCF9579B2289,2,5,0,0,0,0
CCF9579B2299,-2,-5,0,0,0,0
