accuracy,biggest_difference
0.36098212772623234,42
0.4832670772565842,42
0.6206455286643263,44
0.6726869803207748,44
0.7591324874593288,44
0.23438426107492186,44
0.2266721465999544,30
0.15663433660659337,30
0.271042640790421,30
0.4573117271550725,32
0.47066513097549617,32
0.47066513097549634,32
0.47066513097549634,32
0.3510824096770228,32
0.3510824096770228,32
0.3510824096770228,32
0.3510824096770228,32
0.38456210369355615,34
0.887560457258258,40
0.887560457258258,40
0.887560457258258,40
0.887560457258258,40
0.887560457258258,40
0.887560457258258,40
0.6460916336319231,38
0.6460916336319227,38
0.7657971943606274,38
1.0083097897081477,46
0.7603117160757524,46
0.7603117160757524,46
0.7603117160757524,46
0.7603117160757524,46
0.7603117160757523,46
0.7603117160757524,46
0.7603117160757525,46
0.7603117160757524,46
0.7603117160757524,46
0.7603117160757525,46
0.8015948974425525,46
1.0083097897081477,46
0.8665153239197887,46
0.7603117160757524,46
0.7603117160757523,46
0.6700174808964711,46
0.4454156620113493,46
0.3358505284306569,46
0.4454156620113493,46
0.4454156620113493,46
0.4454156620113493,46
0.4454156620113493,46
0.7603117160757524,46
0.7603117160757524,46
0.7603117160757523,46
0.7603117160757523,46
0.49013512859745556,46
0.4454156620113493,46
0.4454156620113493,46
0.44541566201134936,46
0.37966186808267877,46
0.29206910778551387,44
0.5051498377806236,32
0.5051498377806236,32
0.5051498377806237,32
0.4735533000950467,32
0.45299714858611306,32
0.4455178233995468,32
0.48763506749304725,34
0.5020390509261553,34
0.5020390509261555,34
0.4446783465018482,34
0.5051498377806236,32
0.5051498377806236,32
0.5051498377806237,32
0.5051498377806237,32
0.5051498377806236,32
0.5960196666684439,34
0.5960196666684439,34
0.5960196666684433,34
0.5641250839383599,34
0.6094997050791401,34
0.5641250839383601,34
0.5485601625709172,34
0.4697338455994883,34
0.4650636651742592,34
0.4529971485861133,32
0.5749138497913483,32
0.7390448981373587,34
0.7861917185170126,34
0.7939416954937718,34
0.8514342054251661,34
nan,34
0.35431497216428925,40
0.35431497216428903,40
0.35431497216428903,40
0.36453863914611556,40
0.4514386934294967,42
0.5697037907803664,42
0.6242949648436059,42
0.646689365545236,42
0.6466893655452357,42
0.6466893655452357,42
0.6466893655452363,42
0.5912789096603844,42
0.5697037907803661,42
0.5697037907803664,42
0.5697037907803656,42
0.4901670246035497,42
0.5559524311435163,42
0.5697037907803664,42
0.5697037907803661,42
0.5697037907803659,42
0.5697037907803661,42
0.5697037907803664,42
0.5697037907803664,42
0.5697037907803664,42
0.5697037907803661,42
0.5697037907803664,42
0.5697037907803664,42
0.5697037907803661,42
0.5697037907803664,42
0.5697037907803661,42
0.5697037907803659,42
0.5697037907803664,42
0.5697037907803664,42
0.5697037907803668,42
0.42294864492635903,44
0.42294864492635903,44
0.42294864492635925,44
0.42294864492635903,44
0.42294864492635925,44
0.9972881386425985,44
1.3162346430398097,44
1.3162346430398097,44
1.3162346430398097,44
1.3162346430398097,44
0.8537628732787987,44
0.5867720253368799,42
0.5363547291562115,42
0.25196249582483954,42
0.1662202375401166,42
0.4822196958862853,42
1.2830210636806487,42
1.339171435357446,44
1.3827890314073321,44
1.3827890314073312,44
1.1829614400272568,44
1.0123234253904099,42
1.0882884025089479,42
1.1581833441602514,42
1.1581833441602514,42
1.034027678500582,42
0.8227281807686864,42
0.1802272620008536,42
0.18022726200085357,42
0.18022726200085357,42
0.18022726200085382,42
0.18022726200085382,42
0.3206724151863122,42
0.7798183353277938,42
0.8377887834277985,42
0.8377887834277985,42
0.9292503053920153,42
0.9292503053920153,42
0.9109579534122234,42
0.8377887834277987,42
0.8377887834277986,42
0.8377887834277985,42
0.7661532976289165,42
0.1802272620008536,42
0.06711781370080129,42
0.25196249582483954,42
0.23314302349644606,44
0.14635192624348176,44
0.25196249582483954,42
0.25196249582483954,42
0.018627115468409863,42
0.018627115468409863,42
0.018627115468409863,42
0.1802272620008536,42
0.3974508189167436,42
0.3487673730347111,42
0.29293973235507015,40
0.3795598009414351,40
0.23576500279268964,40
0.23576500279269005,40
0.23576500279268975,40
0.23576500279268944,40
0.23576500279268944,40
0.23576500279268944,40
0.23576500279269005,42
0.3487673730347111,42
0.34876737303471084,42
1.2281429755988549,48
1.228142975598855,48
1.313995062940996,48
1.2833125921172608,48
1.2281429755988549,50
1.4507125501583942,50
1.5786471059424523,50
1.4824055717067965,50
1.356986018431472,48
1.356986018431472,48
1.356986018431472,48
1.356986018431472,48
1.356986018431472,48
1.3569860184314717,50
1.5786471059424523,50
1.6738662603823795,50
1.583450304079609,50
1.6738662603823795,50
1.6738662603823795,50
1.5463848712348611,50
1.466533001209783,50
1.6738662603823795,50
1.6738662603823795,50
1.6738662603823795,50
1.6738662603823795,50
1.713920916866895,50
1.6738662603823795,50
1.6738662603823795,50
1.6738662603823795,50
1.6738662603823795,50
1.6738662603823795,50
1.6738662603823795,50
1.6738662603823795,50
1.7539863962737745,50
1.7539863962737745,50
0.20546444526468663,40
0.20546444526468663,40
0.22798964433941318,40
0.22798964433940808,42
0.4783537431225791,46
0.6425539316252409,46
0.6694047166445677,48
0.7993992850550715,48
0.7737698453471108,48
0.7737698453471102,48
0.7737698453471111,48
0.7737698453471096,48
