timestamp,boot_timestamp,anchor_id,tag_id,rssi_pol1,angle_azimuth,rssi_pol2,angle_elevation,channel
1699815795185,353317,CCF9579B223C,6C1DEBA4241B,-47,44,-54,12,39
1699815795197,353339,CCF9579B223C,6C1DEBA4241B,-53,44,-64,14,38
1699815795204,2263345,CCF9579B217F,6C1DEBA4241B,-63,-30,-71,18,38
1699815795283,2263428,CCF9579B217F,6C1DEBA4241B,-54,-30,-61,18,39
1699815795302,353422,CCF9579B223C,6C1DEBA4241B,-53,44,-64,14,38
1699815795327,2263476,CCF9579B217F,6C1DEBA4241B,-70,-30,-73,18,37
1699815795331,353471,CCF9579B223C,6C1DEBA4241B,-47,44,-54,14,39
1699815795413,2263552,CCF9579B217F,6C1DEBA4241B,-62,-30,-72,18,38
1699815795413,353546,CCF9579B223C,6C1DEBA4241B,-53,44,-64,14,38
1699815795478,353621,CCF9579B223C,6C1DEBA4241B,-54,44,-69,14,37
1699815795512,353644,CCF9579B223C,6C1DEBA4241B,-54,44,-69,14,37
1699815795530,353673,CCF9579B223C,6C1DEBA4241B,-53,44,-63,14,38
1699815795573,2263705,CCF9579B217F,6C1DEBA4241B,-53,-30,-64,30,39
1699815795621,353754,CCF9579B223C,6C1DEBA4241B,-54,44,-68,14,37
1699815795624,2263761,CCF9579B217F,6C1DEBA4241B,-53,-30,-64,30,39
1699815795634,2263782,CCF9579B217F,6C1DEBA4241B,-62,-30,-71,30,38
1699815795656,2263804,CCF9579B217F,6C1DEBA4241B,-68,-30,-75,30,37
1699815795657,353798,CCF9579B223C,6C1DEBA4241B,-53,44,-63,14,38
1699815795676,2263825,CCF9579B217F,6C1DEBA4241B,-68,-30,-76,30,37
1699815795676,353818,CCF9579B223C,6C1DEBA4241B,-54,44,-69,14,37
1699815795700,353843,CCF9579B223C,6C1DEBA4241B,-54,44,-68,14,37
1699815795733,353865,CCF9579B223C,6C1DEBA4241B,-54,44,-68,14,37
1699815795734,2263872,CCF9579B217F,6C1DEBA4241B,-52,-30,-64,30,39
1699815795753,2263901,CCF9579B217F,6C1DEBA4241B,-52,-30,-58,30,39
1699815795784,353923,CCF9579B223C,6C1DEBA4241B,-46,44,-59,14,39
1699815795803,353946,CCF9579B223C,6C1DEBA4241B,-54,44,-68,14,37
1699815795824,353967,CCF9579B223C,6C1DEBA4241B,-54,44,-67,14,37
1699815795861,2264000,CCF9579B217F,6C1DEBA4241B,-62,-30,-70,30,38
1699815795879,354017,CCF9579B223C,6C1DEBA4241B,-53,44,-63,14,38
1699815795888,2264023,CCF9579B217F,6C1DEBA4241B,-68,-30,-72,30,37
1699815795899,2264048,CCF9579B217F,6C1DEBA4241B,-68,-30,-73,18,37
1699815795900,354042,CCF9579B223C,6C1DEBA4241B,-53,44,-63,14,38
1699815795926,2264074,CCF9579B217F,6C1DEBA4241B,-61,-30,-71,18,38
1699815795926,354068,CCF9579B223C,6C1DEBA4241B,-53,44,-63,14,38
1699815795956,354089,CCF9579B223C,6C1DEBA4241B,-53,44,-63,14,38
1699815795957,2264095,CCF9579B217F,6C1DEBA4241B,-61,-30,-72,16,38
1699815795969,354111,CCF9579B223C,6C1DEBA4241B,-53,44,-63,12,38
1699815795998,2264145,CCF9579B217F,6C1DEBA4241B,-61,-30,-71,16,38
1699815796019,2264168,CCF9579B217F,6C1DEBA4241B,-67,-30,-73,16,37
1699815796026,354163,CCF9579B223C,6C1DEBA4241B,-46,44,-59,12,39
1699815796086,2264225,CCF9579B217F,6C1DEBA4241B,-61,-30,-72,16,38
1699815796099,2264247,CCF9579B217F,6C1DEBA4241B,-61,-30,-72,14,38
1699815796109,354241,CCF9579B223C,6C1DEBA4241B,-53,44,-63,12,38
1699815796120,2264268,CCF9579B217F,6C1DEBA4241B,-67,-32,-76,14,37
1699815796198,354331,CCF9579B223C,6C1DEBA4241B,-54,44,-68,12,37
